"Oregon Liquor Control Commission Price Changes - Effective July 01, 2018"
"NOTE","ITEM NBR","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
,"0133B","R",24.95,$299.40,"JIM BEAM BLACK LABEL",2.00
,"0139B","R",39.95,$479.40,"WOODFORD RESERVE",3.00
,"0140B","R",19.95,$239.40,"JIM BEAM",3.00
"%","0146B","R",20.95,$251.40,"JACK DANIELS #7 BL LABEL",2.00-
,"0147B","R",22.95,$275.40,"GEORGE DICKEL #12",3.00
"%","0148B","R",28.95,$347.40,"GENTLEMAN JACK",4.00-
,"0199B","R",19.95,$239.40,"GEORGE DICKEL #8",2.00
"#","0216B","H",26.95,$161.70,"AVIATION GIN HOLIDAY W/SHA",0.00
,"0244B","R",39.95,$239.70,"PENDLETON 1910 RYE WHISKEY",3.00
"#","0288B","S",28.35,$170.10,"CHAIRMAN'S RESERVE SPICED",18.35
,"0346B","R",19.95,$239.40,"CUTTY SARK SCOTCH",2.00
"%","0356H","R",45.95,$275.70,"JOHNNIE WALKER RED",4.00-
"%","0357H","R",69.95,$419.70,"JOHNNIE WALKER BLK LABEL",6.00-
,"0364B","D",41.05,$246.30,"THE FEATHERY BLENDED MALT",23.90-
,"0365B","R",18.45,$221.40,"WM. GRANT'S BLENDED SCOTCH",2.00
"#","0373B","O",39.95,$239.70,"ASTRAL BLANCO TEQUILA",4.00-
,"0376B","R",47.95,$575.40,"GLENLIVET SCOTCH",5.00
,"0379B","L",115.95,$695.70,"GLENMORANGIE ORIGINAL 18YR",16.00
,"0383B","R",37.95,$455.40,"CHIVAS REGAL SCOTCH",5.00
,"0386B","R",34.95,$419.40,"J. POWER & SON IR.WHISKEY",5.00
,"0390B","R",28.95,$347.40,"BUSHMILLS IRISH WHISKEY",4.00
,"0391B","R",29.95,$359.40,"JAMESON IRISH WHISKEY",3.00
,"0392B","R",64.95,$779.40,"GLENFIDDICH SOLERA RESERVE",5.00
,"0394B","R",29.95,$359.40,"TULLAMORE DEW",3.00
,"0426B","R",34.95,$209.70,"KNOB CREEK SMOKED MAPLE",3.00
,"0443B","R",46.95,$563.40,"REMY MARTIN VSOP",4.00
